item_code,item_category,item_name,price,cost
PRD0001,Face,Serene Glow Foundation,1120,336
PRD0002,Face,Velvet Touch Concealer,896,268.8
PRD0003,Face,Luminous Veil Setting Powder,960,288
PRD0004,Face,Perfect Canvas Pressed Powder,1024,307.2
PRD0005,Face,Rose Petal Blush,800,240
PRD0006,Face,Sun Kissed Bronzer,864,259.2
PRD0007,Face,Celestial Highlight,928,278.4
PRD0008,Face,Poreless Perfection Primer,1056,316.8
PRD0009,Face,Color Correcting Cream,1216,364.8
PRD0010,Face,Dewy Radiance Tinted Moisturizer,1152,345.6
PRD0011,Face,Aqua Surge Hydrating Mist,640,192
PRD0012,Face,Matte Finish Setting Spray,704,211.2
PRD0013,Face,Clarity Control Acne Treatment,800,240
PRD0014,Face,Gentle Soothe Cleansing Balm,896,268.8
PRD0015,Face,Refreshing Gel Cleanser,704,211.2
PRD0016,Face,Creamy Hydration Cleanser,768,230.4
PRD0017,Face,Exfoliating Renewal Scrub,832,249.6
PRD0018,Face,Brightening Enzyme Peel,1280,384
PRD0019,Face,Deep Hydration Sheet Mask,192,57.6
PRD0020,Face,Revitalizing Clay Mask,896,268.8
PRD0021,Face,Soothing Aloe Vera Gel,576,172.8
PRD0022,Face,Age Defense Serum,1760,528
PRD0023,Face,Vitamin C Brightening Serum,1536,460.8
PRD0024,Face,Hyaluronic Acid Hydrating Serum,1440,432
PRD0025,Face,Niacinamide Pore Minimizing Serum,1344,403.2
PRD0026,Face,Retinol Renewal Night Serum,1856,556.8
PRD0027,Face,Youthful Radiance Face Oil,1600,480
PRD0028,Face,Under Eye Brightening Cream,1216,364.8
PRD0029,Face,Firming Neck & Décolleté Cream,1440,432
PRD0030,Face,Spotless Skin Dark Spot Corrector,960,288
PRD0031,Face,Mineral Veil Sunscreen SPF 50,1024,307.2
PRD0032,Face,Invisible Shield Sunscreen SPF 30,960,288
PRD0033,Face,Lip & Cheek Stain,640,192
PRD0034,Face,Blurring Finishing Powder,1056,316.8
PRD0035,Face,Targeted Blemish Treatment,576,172.8
PRD0036,Face,Overnight Recovery Mask,1120,336
PRD0037,Face,Balancing Facial Toner,704,211.2
PRD0038,Face,Makeup Remover Wipes,384,115.2
PRD0039,Face,Cooling Facial Globes,800,240
PRD0040,Face,Facial Roller,896,268.8
PRD0041,Face,Gua Sha Sculpting Tool,640,192
PRD0042,Face,Facial Steamer,1600,480
PRD0043,Face,Blackhead Removing Strips,320,96
PRD0044,Face,Makeup Brush Cleanser,480,144
PRD0045,Face,Makeup Sponge,256,76.8
PRD0046,Face,Powder Puff,160,48
PRD0047,Face,Precision Makeup Sponges,384,115.2
PRD0048,Face,Setting Powder Brush,576,172.8
PRD0049,Face,Foundation Brush,704,211.2
PRD0050,Face,Concealer Brush,512,153.6
PRD0051,Face,Blush Brush,640,192
PRD0052,Face,Bronzer Brush,672,201.6
PRD0053,Face,Highlight Brush,608,182.4
PRD0054,Face,Contour Brush,640,192
PRD0055,Face,Fan Brush,480,144
PRD0056,Face,Stippling Brush,736,220.8
PRD0057,Face,Kabuki Brush,800,240
PRD0058,Face,Blending Sponge,320,96
PRD0059,Face,Makeup Palette,1440,432
PRD0060,Face,Travel Makeup Brush Set,960,288
PRD0061,Eyes,Midnight Dream Eyeshadow Palette,1216,364.8
PRD0062,Eyes,Golden Hour Shimmer Eyeshadow,576,172.8
PRD0063,Eyes,Matte Essentials Eyeshadow,640,192
PRD0064,Eyes,Liquid Gold Eyeliner,704,211.2
PRD0065,Eyes,Gel Precision Eyeliner,640,192
PRD0066,Eyes,Kohl Kajal Eyeliner,480,144
PRD0067,Eyes,Voluminous Lash Mascara,800,240
PRD0068,Eyes,Lengthening Definition Mascara,800,240
PRD0069,Eyes,Waterproof Lash Coating,576,172.8
PRD0070,Eyes,Brow Sculpting Gel,640,192
PRD0071,Eyes,Brow Defining Pencil,512,153.6
PRD0072,Eyes,Brow Powder Duo,704,211.2
PRD0073,Eyes,Brow Pomade,768,230.4
PRD0074,Eyes,Eyeshadow Primer,576,172.8
PRD0075,Eyes,Under Eye Concealer Brush,480,144
PRD0076,Eyes,Eyeshadow Blending Brush,384,115.2
PRD0077,Eyes,Eyeshadow Shader Brush,448,134.4
PRD0078,Eyes,Angled Eyeliner Brush,416,124.8
PRD0079,Eyes,Spoolie Brush,160,48
PRD0080,Eyes,Eyelash Curler,576,172.8
PRD0081,Eyes,False Eyelashes,480,144
PRD0082,Eyes,Eyelash Glue,256,76.8
PRD0083,Eyes,Brow Scissors,384,115.2
PRD0084,Eyes,Brow Tweezers,320,96
PRD0085,Eyes,Eye Makeup Remover,480,144
