order_id,order_date,item_code,quantity,customer_code,staff_id
ODR000001,02/01/2024,PRD0001,1,11000,174
ODR000002,02/01/2024,PRD0001,1,11001,174
ODR000003,03/01/2024,PRD0002,1,11002,234
ODR000004,05/01/2024,PRD0001,1,11003,293
ODR000004,05/01/2024,PRD0001,1,11003,293
ODR000005,05/01/2024,PRD0003,1,11004,174
ODR000006,05/01/2024,PRD0004,1,11005,293
ODR000007,06/01/2024,PRD0004,1,11006,293
ODR000008,06/01/2024,PRD0005,2,11007,228
ODR000008,06/01/2024,PRD0006,1,11007,228
ODR000008,06/01/2024,PRD0007,1,11007,228
ODR000008,06/01/2024,PRD0008,1,11007,228
ODR000009,02/01/2024,PRD0001,1,11008,174
ODR000010,02/01/2024,PRD0004,1,11009,174
ODR000011,02/01/2024,PRD0009,1,11010,174
ODR000012,02/01/2024,PRD0001,1,11011,174
ODR000013,02/01/2024,PRD0001,1,11012,174
ODR000014,06/01/2024,PRD0004,1,11013,293
ODR000015,06/01/2024,PRD0001,1,11014,174
ODR000008,06/01/2024,PRD0010,6,11007,228
ODR000008,06/01/2024,PRD0011,1,11007,228
ODR000016,07/01/2024,PRD0006,1,11015,174
ODR000016,07/01/2024,PRD0006,1,11015,174
ODR000017,07/01/2024,PRD0001,1,11016,293
ODR000018,08/01/2024,PRD0012,1,11017,288
ODR000019,08/01/2024,PRD0013,1,11018,35
ODR000020,09/01/2024,PRD0014,1,11019,293
ODR000020,09/01/2024,PRD0011,1,11019,293
ODR000020,09/01/2024,PRD0008,1,11019,293
ODR000020,09/01/2024,PRD0007,1,11019,293
ODR000020,09/01/2024,PRD0010,1,11019,293
ODR000020,09/01/2024,PRD0010,5,11019,293
ODR000021,10/01/2024,PRD0015,1,11020,160
ODR000021,10/01/2024,PRD0016,1,11020,160
ODR000022,07/01/2024,PRD0011,1,11021,234
ODR000022,07/01/2024,PRD0017,1,11021,234
ODR000022,07/01/2024,PRD0008,1,11021,234
ODR000022,07/01/2024,PRD0018,6,11021,234
ODR000022,07/01/2024,PRD0019,1,11021,234
ODR000019,08/01/2024,PRD0015,1,11018,35
ODR000021,10/01/2024,PRD0016,1,11020,160
ODR000021,10/01/2024,PRD0016,1,11020,160
ODR000021,10/01/2024,PRD0020,1,11020,160
ODR000023,10/01/2024,PRD0021,1,11022,288
ODR000024,10/01/2024,PRD0010,6,11023,174
ODR000025,10/01/2024,PRD0001,1,11024,232
ODR000025,10/01/2024,PRD0022,1,11024,232
ODR000026,10/01/2024,PRD0001,1,11024,232
ODR000026,10/01/2024,PRD0022,1,11024,232
ODR000027,10/01/2024,PRD0001,1,11024,232
ODR000027,10/01/2024,PRD0023,1,11024,232
ODR000027,10/01/2024,PRD0020,1,11024,232
ODR000027,10/01/2024,PRD0017,1,11024,232
ODR000027,10/01/2024,PRD0024,6,11024,232
ODR000027,10/01/2024,PRD0025,6,11024,232
ODR000028,10/01/2024,PRD0014,1,11025,174
ODR000028,10/01/2024,PRD0011,1,11025,174
ODR000028,10/01/2024,PRD0008,1,11025,174
ODR000028,10/01/2024,PRD0007,1,11025,174
ODR000028,10/01/2024,PRD0010,6,11025,174
ODR000029,07/01/2024,PRD0014,1,11026,228
ODR000030,07/01/2024,PRD0014,2,11027,228
ODR000031,07/01/2024,PRD0026,1,11028,232
ODR000031,07/01/2024,PRD0027,1,11028,232
ODR000031,07/01/2024,PRD0028,1,11028,232
ODR000031,07/01/2024,PRD0029,1,11028,232
ODR000031,07/01/2024,PRD0025,5,11028,232
ODR000032,08/01/2024,PRD0001,1,11029,293
ODR000032,08/01/2024,PRD0001,1,11029,293
ODR000032,08/01/2024,PRD0015,1,11029,293
ODR000032,08/01/2024,PRD0015,1,11029,293
ODR000032,08/01/2024,PRD0002,1,11029,293
ODR000032,08/01/2024,PRD0002,1,11029,293
ODR000032,08/01/2024,PRD0013,1,11029,293
ODR000033,08/01/2024,PRD0001,1,11030,174
ODR000034,11/01/2024,PRD0001,1,11031,174
ODR000034,11/01/2024,PRD0021,1,11031,174
ODR000035,11/01/2024,PRD0001,5,11032,174
ODR000036,11/01/2024,PRD0004,1,11033,288
ODR000037,11/01/2024,PRD0030,1,11034,273
ODR000037,11/01/2024,PRD0031,1,11034,273
ODR000037,11/01/2024,PRD0019,1,11034,273
ODR000038,11/01/2024,PRD0032,2,11035,273
ODR000038,11/01/2024,PRD0009,3,11035,273
ODR000039,11/01/2024,PRD0001,1,11024,232
ODR000039,11/01/2024,PRD0023,1,11024,232
ODR000040,11/01/2024,PRD0001,1,11036,293
ODR000041,12/01/2024,PRD0004,1,11037,273
ODR000041,12/01/2024,PRD0021,1,11037,273
ODR000042,12/01/2024,PRD0023,1,11038,234
ODR000042,12/01/2024,PRD0017,1,11038,234
ODR000042,12/01/2024,PRD0020,1,11038,234
ODR000042,12/01/2024,PRD0025,6,11038,234
ODR000042,12/01/2024,PRD0018,6,11038,234
ODR000042,12/01/2024,PRD0002,1,11038,234
ODR000042,12/01/2024,PRD0033,1,11038,234
ODR000042,12/01/2024,PRD0014,1,11038,234
ODR000043,12/01/2024,PRD0004,1,11039,234
ODR000044,12/01/2024,PRD0014,1,11040,273
ODR000045,12/01/2024,PRD0001,2,11041,232
ODR000046,12/01/2024,PRD0009,2,11042,232
ODR000047,12/01/2024,PRD0034,2,11043,232
ODR000048,12/01/2024,PRD0014,1,11044,228
ODR000048,12/01/2024,PRD0001,1,11044,228
ODR000049,12/01/2024,PRD0035,1,11045,122
ODR000050,12/01/2024,PRD0036,1,11046,122
ODR000051,13/01/2024,PRD0004,1,11047,234
ODR000052,13/01/2024,PRD0037,1,11048,234
ODR000052,13/01/2024,PRD0038,1,11048,234
ODR000053,14/01/2024,PRD0014,1,11049,293
ODR000054,14/01/2024,PRD0001,1,11050,293
ODR000055,14/01/2024,PRD0001,1,11051,293
ODR000039,11/01/2024,PRD0020,1,11024,232
ODR000039,11/01/2024,PRD0017,1,11024,232
ODR000039,11/01/2024,PRD0024,6,11024,232
ODR000039,11/01/2024,PRD0025,6,11024,232
ODR000056,11/01/2024,PRD0001,1,11024,232
ODR000056,11/01/2024,PRD0023,1,11024,232
ODR000056,11/01/2024,PRD0020,1,11024,232
ODR000056,11/01/2024,PRD0017,1,11024,232
ODR000056,11/01/2024,PRD0025,6,11024,232
ODR000056,11/01/2024,PRD0010,6,11024,232
ODR000057,12/01/2024,PRD0001,1,11052,293
ODR000058,14/01/2024,PRD0008,1,11053,160
ODR000059,14/01/2024,PRD0013,1,11054,35
ODR000059,14/01/2024,PRD0013,1,11054,35
ODR000059,14/01/2024,PRD0001,1,11054,35
ODR000059,14/01/2024,PRD0001,1,11054,35
ODR000060,14/01/2024,PRD0015,1,11055,228
ODR000061,14/01/2024,PRD0021,1,11056,228
ODR000061,14/01/2024,PRD0001,1,11056,228
ODR000061,14/01/2024,PRD0001,1,11056,228
ODR000062,14/01/2024,PRD0004,3,11057,288
ODR000062,14/01/2024,PRD0011,1,11057,288
ODR000062,14/01/2024,PRD0007,1,11057,288
ODR000062,14/01/2024,PRD0008,1,11057,288
ODR000062,14/01/2024,PRD0010,6,11057,288
ODR000063,14/01/2024,PRD0011,1,11058,234
ODR000064,12/01/2024,PRD0039,1,11059,35
ODR000064,12/01/2024,PRD0003,1,11059,35
ODR000065,12/01/2024,PRD0036,1,11060,273
ODR000065,12/01/2024,PRD0011,1,11060,273
ODR000065,12/01/2024,PRD0007,1,11060,273
ODR000065,12/01/2024,PRD0008,1,11060,273
ODR000065,12/01/2024,PRD0010,6,11060,273
ODR000066,12/01/2024,PRD0040,1,11061,35
ODR000066,12/01/2024,PRD0001,1,11061,35
ODR000066,12/01/2024,PRD0030,1,11061,35
ODR000066,12/01/2024,PRD0041,1,11061,35
ODR000066,12/01/2024,PRD0041,1,11061,35
ODR000067,12/01/2024,PRD0039,1,11062,35
ODR000067,12/01/2024,PRD0042,1,11062,35
ODR000067,12/01/2024,PRD0043,1,11062,35
ODR000068,12/01/2024,PRD0036,1,11063,35
ODR000069,12/01/2024,PRD0040,1,11061,35
ODR000069,12/01/2024,PRD0001,1,11061,35
ODR000069,12/01/2024,PRD0030,1,11061,35
ODR000069,12/01/2024,PRD0041,1,11061,35
ODR000069,12/01/2024,PRD0041,1,11061,35
ODR000070,12/01/2024,PRD0040,1,11061,35
ODR000070,12/01/2024,PRD0001,1,11061,35
ODR000070,12/01/2024,PRD0030,1,11061,35
ODR000070,12/01/2024,PRD0041,1,11061,35
ODR000070,12/01/2024,PRD0041,1,11061,35
ODR000070,12/01/2024,PRD0032,1,11061,35
ODR000071,12/01/2024,PRD0001,1,11064,35
ODR000071,12/01/2024,PRD0001,1,11064,35
ODR000060,14/01/2024,PRD0002,1,11055,228
ODR000063,14/01/2024,PRD0017,1,11058,234
ODR000063,14/01/2024,PRD0008,1,11058,234
ODR000063,14/01/2024,PRD0018,6,11058,234
ODR000063,14/01/2024,PRD0033,1,11058,234
ODR000063,14/01/2024,PRD0015,1,11058,234
ODR000063,14/01/2024,PRD0021,1,11058,234
ODR000063,14/01/2024,PRD0019,1,11058,234
ODR000063,14/01/2024,PRD0004,1,11058,234
ODR000063,14/01/2024,PRD0030,1,11058,234
ODR000072,14/01/2024,PRD0044,1,11065,288
ODR000072,14/01/2024,PRD0004,1,11065,288
ODR000072,14/01/2024,PRD0001,1,11065,288
ODR000073,15/01/2024,PRD0001,1,11066,293
ODR000074,15/01/2024,PRD0008,1,11058,234
ODR000075,15/01/2024,PRD0004,1,11067,293
ODR000075,15/01/2024,PRD0019,1,11067,293
ODR000075,15/01/2024,PRD0011,1,11067,293
ODR000075,15/01/2024,PRD0008,1,11067,293
ODR000075,15/01/2024,PRD0007,1,11067,293
ODR000075,15/01/2024,PRD0010,1,11067,293
ODR000075,15/01/2024,PRD0010,1,11067,293
ODR000075,15/01/2024,PRD0010,1,11067,293
ODR000076,15/01/2024,PRD0001,2,11068,228
ODR000077,15/01/2024,PRD0004,1,11069,35
ODR000077,15/01/2024,PRD0033,1,11069,35
ODR000077,15/01/2024,PRD0032,1,11069,35
ODR000077,15/01/2024,PRD0011,1,11069,35
ODR000077,15/01/2024,PRD0017,1,11069,35
ODR000077,15/01/2024,PRD0008,1,11069,35
ODR000077,15/01/2024,PRD0018,6,11069,35
ODR000078,15/01/2024,PRD0004,1,11070,288
ODR000078,15/01/2024,PRD0011,1,11070,288
ODR000079,15/01/2024,PRD0004,1,11070,288
ODR000079,15/01/2024,PRD0011,1,11070,288
ODR000080,15/01/2024,PRD0004,1,11070,288
ODR000080,15/01/2024,PRD0011,1,11070,288
ODR000080,15/01/2024,PRD0008,1,11070,288
ODR000080,15/01/2024,PRD0007,1,11070,288
ODR000080,15/01/2024,PRD0010,6,11070,288
ODR000081,16/01/2024,PRD0004,1,11071,234
ODR000081,16/01/2024,PRD0011,1,11071,234
ODR000081,16/01/2024,PRD0017,1,11071,234
ODR000081,16/01/2024,PRD0008,1,11071,234
ODR000081,16/01/2024,PRD0018,6,11071,234
ODR000082,16/01/2024,PRD0045,5,11072,234
ODR000082,16/01/2024,PRD0017,6,11072,234
ODR000082,16/01/2024,PRD0046,12,11072,234
ODR000082,16/01/2024,PRD0047,12,11072,234
ODR000083,15/01/2024,PRD0001,1,11073,293
ODR000082,16/01/2024,PRD0048,1,11072,234
ODR000082,16/01/2024,PRD0008,6,11072,234
ODR000082,16/01/2024,PRD0016,12,11072,234
ODR000082,16/01/2024,PRD0024,1,11072,234
ODR000084,16/01/2024,PRD0001,1,11074,293
ODR000084,16/01/2024,PRD0001,1,11074,293
ODR000084,16/01/2024,PRD0001,1,11074,293
ODR000084,16/01/2024,PRD0001,1,11074,293
ODR000084,16/01/2024,PRD0001,1,11074,293
ODR000084,16/01/2024,PRD0001,1,11074,293
ODR000085,16/01/2024,PRD0001,1,11074,293
ODR000086,17/01/2024,PRD0049,1,11075,234
ODR000086,17/01/2024,PRD0050,1,11075,234
ODR000086,17/01/2024,PRD0001,1,11075,234
ODR000087,17/01/2024,PRD0001,2,11076,123
ODR000088,17/01/2024,PRD0051,1,11077,35
ODR000089,17/01/2024,PRD0021,1,11078,122
ODR000090,18/01/2024,PRD0043,1,11079,288
ODR000090,18/01/2024,PRD0011,1,11079,288
ODR000090,18/01/2024,PRD0008,1,11079,288
ODR000090,18/01/2024,PRD0007,1,11079,288
ODR000090,18/01/2024,PRD0010,6,11079,288
ODR000091,18/01/2024,PRD0052,1,11080,122
ODR000092,19/01/2024,PRD0042,1,11081,288
ODR000092,19/01/2024,PRD0023,1,11081,288
ODR000093,19/01/2024,PRD0001,2,11082,228
ODR000094,20/01/2024,PRD0004,1,11083,35
ODR000095,20/01/2024,PRD0033,1,11084,35
ODR000095,20/01/2024,PRD0002,1,11084,35
ODR000095,20/01/2024,PRD0011,1,11084,35
ODR000095,20/01/2024,PRD0017,1,11084,35
ODR000095,20/01/2024,PRD0008,1,11084,35
ODR000095,20/01/2024,PRD0018,6,11084,35
ODR000096,20/01/2024,PRD0004,1,11085,35
ODR000097,20/01/2024,PRD0001,1,11086,273
ODR000098,20/01/2024,PRD0010,6,11087,293
ODR000099,20/01/2024,PRD0013,1,11088,174
ODR000099,20/01/2024,PRD0021,1,11088,174
ODR000100,20/01/2024,PRD0013,1,11088,174
ODR000100,20/01/2024,PRD0021,1,11088,174
ODR000101,20/01/2024,PRD0021,1,11088,174
ODR000101,20/01/2024,PRD0013,1,11088,174
ODR000101,20/01/2024,PRD0011,1,11088,174
ODR000101,20/01/2024,PRD0008,1,11088,174
ODR000101,20/01/2024,PRD0017,1,11088,174
ODR000101,20/01/2024,PRD0010,6,11088,174
ODR000102,20/01/2024,PRD0021,1,11089,293
ODR000103,20/01/2024,PRD0004,4,11090,174
ODR000104,20/01/2024,PRD0001,3,11091,228
ODR000105,20/01/2024,PRD0001,1,11092,228
ODR000106,20/01/2024,PRD0021,1,11093,228
ODR000107,20/01/2024,PRD0011,1,11094,174
ODR000107,20/01/2024,PRD0008,1,11094,174
ODR000107,20/01/2024,PRD0017,1,11094,174
ODR000107,20/01/2024,PRD0010,6,11094,174
ODR000108,21/01/2024,PRD0004,4,11095,174
ODR000109,21/01/2024,PRD0004,1,11096,292
ODR000109,21/01/2024,PRD0017,1,11096,292
ODR000109,21/01/2024,PRD0008,1,11096,292
ODR000109,21/01/2024,PRD0010,1,11096,292
ODR000109,21/01/2024,PRD0010,1,11096,292
ODR000109,21/01/2024,PRD0010,1,11096,292
ODR000109,21/01/2024,PRD0010,1,11096,292
ODR000109,21/01/2024,PRD0010,1,11096,292
ODR000109,21/01/2024,PRD0010,1,11096,292
ODR000110,21/01/2024,PRD0053,1,11097,234
ODR000110,21/01/2024,PRD0040,1,11097,234
ODR000110,21/01/2024,PRD0001,1,11097,234
ODR000110,21/01/2024,PRD0030,1,11097,234
ODR000110,21/01/2024,PRD0044,1,11097,234
ODR000110,21/01/2024,PRD0041,2,11097,234
ODR000110,21/01/2024,PRD0015,1,11097,234
ODR000110,21/01/2024,PRD0033,1,11097,234
ODR000110,21/01/2024,PRD0027,1,11097,234
ODR000110,21/01/2024,PRD0026,1,11097,234
ODR000110,21/01/2024,PRD0009,1,11097,234
ODR000110,21/01/2024,PRD0032,1,11097,234
ODR000111,20/01/2024,PRD0021,1,11098,232
ODR000112,20/01/2024,PRD0004,1,11099,232
ODR000113,20/01/2024,PRD0004,1,11099,232
ODR000114,20/01/2024,PRD0004,1,11099,232
ODR000114,20/01/2024,PRD0011,1,11099,232
ODR000114,20/01/2024,PRD0017,1,11099,232
ODR000114,20/01/2024,PRD0008,1,11099,232
ODR000115,20/01/2024,PRD0004,1,11100,232
ODR000115,20/01/2024,PRD0011,1,11100,232
ODR000115,20/01/2024,PRD0017,1,11100,232
ODR000115,20/01/2024,PRD0008,1,11100,232
ODR000115,20/01/2024,PRD0010,6,11100,232
ODR000116,21/01/2024,PRD0015,1,11101,234
ODR000116,21/01/2024,PRD0002,1,11101,234
ODR000116,21/01/2024,PRD0030,1,11101,234
ODR000117,21/01/2024,PRD0004,1,11102,234
ODR000118,21/01/2024,PRD0042,1,11103,293
ODR000118,21/01/2024,PRD0001,1,11103,293
ODR000118,21/01/2024,PRD0041,1,11103,293
ODR000119,21/01/2024,PRD0045,1,11104,234
ODR000120,21/01/2024,PRD0001,1,11105,293
ODR000121,21/01/2024,PRD0044,3,11106,232
ODR000121,21/01/2024,PRD0041,1,11106,232
ODR000122,21/01/2024,PRD0001,1,11107,35
ODR000123,21/01/2024,PRD0004,1,11048,234
ODR000124,21/01/2024,PRD0001,1,11108,273
ODR000125,21/01/2024,PRD0037,1,11109,160
ODR000125,21/01/2024,PRD0037,1,11109,160
ODR000125,21/01/2024,PRD0037,1,11109,160
ODR000125,21/01/2024,PRD0037,1,11109,160
ODR000125,21/01/2024,PRD0016,1,11109,160
ODR000125,21/01/2024,PRD0016,1,11109,160
ODR000125,21/01/2024,PRD0016,1,11109,160
ODR000126,22/01/2024,PRD0052,1,11110,160
ODR000126,22/01/2024,PRD0016,1,11110,160
ODR000126,22/01/2024,PRD0016,1,11110,160
ODR000126,22/01/2024,PRD0016,1,11110,160
ODR000126,22/01/2024,PRD0017,1,11110,160
ODR000126,22/01/2024,PRD0008,1,11110,160
ODR000127,22/01/2024,PRD0045,1,11111,123
ODR000127,22/01/2024,PRD0036,1,11111,123
ODR000128,22/01/2024,PRD0001,2,11112,174
ODR000129,23/01/2024,PRD0001,1,11113,174
ODR000130,23/01/2024,PRD0049,1,11114,35
ODR000131,23/01/2024,PRD0027,1,11115,174
ODR000131,23/01/2024,PRD0015,1,11115,174
ODR000131,23/01/2024,PRD0023,1,11115,174
ODR000131,23/01/2024,PRD0007,1,11115,174
ODR000131,23/01/2024,PRD0020,1,11115,174
ODR000131,23/01/2024,PRD0010,6,11115,174
ODR000131,23/01/2024,PRD0025,6,11115,174
ODR000132,23/01/2024,PRD0001,1,11116,174
ODR000133,21/01/2024,PRD0014,1,11117,228
ODR000134,23/01/2024,PRD0001,1,11118,174
ODR000135,23/01/2024,PRD0011,1,11119,234
ODR000136,23/01/2024,PRD0021,1,11120,122
ODR000137,24/01/2024,PRD0054,1,11121,35
ODR000137,24/01/2024,PRD0027,1,11121,35
ODR000138,24/01/2024,PRD0021,1,11122,160
ODR000138,24/01/2024,PRD0023,1,11122,160
ODR000138,24/01/2024,PRD0025,6,11122,160
ODR000138,24/01/2024,PRD0017,1,11122,160
ODR000138,24/01/2024,PRD0020,1,11122,160
ODR000139,24/01/2024,PRD0001,1,11123,174
ODR000140,25/01/2024,PRD0004,1,11124,288
ODR000140,25/01/2024,PRD0002,1,11124,288
ODR000140,25/01/2024,PRD0011,1,11124,288
ODR000140,25/01/2024,PRD0008,1,11124,288
ODR000140,25/01/2024,PRD0007,1,11124,288
ODR000140,25/01/2024,PRD0010,6,11124,288
ODR000141,25/01/2024,PRD0001,1,11125,174
ODR000141,25/01/2024,PRD0008,1,11125,174
ODR000141,25/01/2024,PRD0007,1,11125,174
ODR000141,25/01/2024,PRD0010,6,11125,174
ODR000142,25/01/2024,PRD0001,1,11126,174
ODR000143,25/01/2024,PRD0001,2,11127,174
